,abbreviation,at_bats,average_batter_age,average_pitcher_age,away_losses,away_record,away_wins,balks,bases_on_balls,bases_on_walks_given,bases_on_walks_given_per_nine_innings,batters_faced,batting_average,complete_game_shutouts,complete_games,doubles,earned_runs_against,earned_runs_against_plus,extra_inning_losses,extra_inning_record,extra_inning_wins,fielding_independent_pitching,games,games_finished,grounded_into_double_plays,hit_pitcher,hits,hits_allowed,hits_per_nine_innings,home_losses,home_record,home_runs,home_runs_against,home_runs_per_nine_innings,home_wins,innings_pitched,intentional_bases_on_balls,interleague_record,last_ten_games_record,last_thirty_games_record,last_twenty_games_record,league,losses,losses_last_ten_games,losses_last_thirty_games,losses_last_twenty_games,losses_vs_left_handed_pitchers,losses_vs_right_handed_pitchers,losses_vs_teams_over_500,losses_vs_teams_under_500,luck,name,number_of_pitchers,number_players_used,on_base_percentage,on_base_plus_slugging_percentage,on_base_plus_slugging_percentage_plus,opposing_runners_left_on_base,plate_appearances,pythagorean_win_loss,rank,record_vs_left_handed_pitchers,record_vs_right_handed_pitchers,record_vs_teams_over_500,record_vs_teams_under_500,run_difference,runners_left_on_base,runs,runs_against,runs_allowed_per_game,runs_batted_in,sacrifice_flies,sacrifice_hits,saves,shutouts,simple_rating_system,single_run_losses,single_run_record,single_run_wins,slugging_percentage,stolen_bases,streak,strength_of_schedule,strikeouts,strikeouts_per_base_on_balls,strikeouts_per_nine_innings,times_caught_stealing,times_hit_by_pitch,times_struck_out,total_bases,total_runs,triples,whip,wild_pitches,win_percentage,wins,wins_last_ten_games,wins_last_thirty_games,wins_last_twenty_games,wins_vs_left_handed_pitchers,wins_vs_right_handed_pitchers,wins_vs_teams_over_500,wins_vs_teams_under_500
SEA,SEA,5551,29.5,27.8,43,38-43,38,7,487,490,3.1,6132,0.259,0,1,281,4.46,94,5,7-5,7,4.7,162,161,131,78,1436,1399,8.7,41,40-41,200,237,1.5,40,1440.1,31,12-8,,,,AL,84,,,,23,61,32,52,-1,Seattle Mariners,40,61,0.325,0.749,103,1039,6166,79-83,17,22-23,56-61,20-32,58-52,-0.1,1084,4.6,4.8,4.77,714,35,14,39,9,0.0,15,26-15,26,0.424,89,,0.1,1244,2.54,7.8,35,78,1267,2351,750,17,1.312,73,0.481,78,,,,22,56,20,58
MIA,MIA,5602,28.4,28.7,49,35-49,35,3,486,627,3.9,6318,0.267,1,1,271,4.82,83,5,6-5,6,4.69,162,161,119,67,1497,1450,9.0,36,42-36,194,193,1.2,42,1442.2,48,9-11,,,,NL,85,,,,21,64,40,45,0,Miami Marlins,24,43,0.331,0.761,107,1168,6248,77-85,18,13-21,64-64,22-40,55-45,-0.3,1130,4.8,5.1,5.07,743,41,50,34,7,-0.5,22,18-22,18,0.431,91,,-0.2,1202,1.92,7.5,30,67,1282,2412,778,31,1.44,57,0.475,77,,,,13,64,22,55
TOR,TOR,5499,30.9,28.8,47,34-47,34,4,542,549,3.4,6316,0.24,0,2,269,4.42,102,14,5-14,5,4.31,162,160,153,51,1320,1460,9.0,39,42-39,222,203,1.2,42,1465.0,12,9-11,,,,AL,86,,,,24,62,41,45,4,Toronto Blue Jays,34,60,0.312,0.724,91,1137,6154,72-90,19,18-24,58-62,27-41,49-45,-0.6,1064,4.3,4.8,4.84,661,35,25,45,6,-0.3,27,26-27,26,0.412,53,,0.3,1372,2.5,8.4,24,51,1327,2265,693,5,1.371,53,0.469,76,,,,18,58,27,49
PIT,PIT,5458,28.2,27.1,50,31-50,31,2,519,511,3.2,6208,0.244,1,2,249,4.22,101,9,8-9,8,4.23,162,160,120,88,1331,1464,9.1,37,44-37,151,182,1.1,44,1440.2,39,10-10,,,,NL,87,,,,24,63,50,37,1,Pittsburgh Pirates,24,47,0.318,0.704,86,1155,6136,74-88,20,17-24,58-63,40-50,35-37,-0.4,1129,4.1,4.5,4.51,635,28,42,36,12,-0.4,24,20-24,20,0.386,67,,-0.1,1262,2.47,7.9,36,88,1213,2105,668,36,1.371,58,0.463,75,,,,17,58,40,35
OAK,OAK,5464,28.7,27.9,52,29-52,29,3,565,502,3.2,6167,0.246,1,1,305,4.67,90,9,4-9,4,4.57,162,161,129,43,1344,1444,9.1,35,46-35,234,210,1.3,46,1431.0,15,7-13,,,,AL,87,,,,26,61,25,62,2,Oakland Athletics,28,54,0.319,0.755,104,1048,6126,73-89,21,19-26,56-61,24-25,51-62,-0.5,1075,4.6,5.1,5.1,708,40,13,35,6,-0.4,21,21-21,21,0.436,57,,0.2,1202,2.39,7.6,22,43,1491,2381,739,15,1.36,84,0.463,75,,,,19,56,24,51
BAL,BAL,5650,28.6,28.2,52,29-52,29,6,392,579,3.6,6293,0.26,1,1,269,4.97,88,4,12-4,12,4.96,162,161,138,50,1469,1505,9.4,35,46-35,232,242,1.5,46,1441.0,12,8-12,,,,AL,87,,,,24,63,46,41,3,Baltimore Orioles,26,50,0.312,0.747,100,1129,6140,72-90,22,26-24,49-63,25-46,50-41,-0.6,1041,4.6,5.2,5.19,713,37,10,35,10,-0.3,20,21-20,21,0.435,32,,0.3,1233,2.13,7.7,13,50,1412,2458,743,12,1.446,53,0.463,75,,,,26,49,25,50
ATL,ATL,5584,28.7,29.4,46,35-46,35,5,474,584,3.6,6306,0.263,0,0,289,4.72,93,8,6-8,6,4.51,162,162,137,66,1467,1463,9.1,44,37-44,165,192,1.2,37,1441.1,57,9-11,,,,NL,90,,,,15,75,37,53,-1,Atlanta Braves,26,49,0.326,0.738,92,1161,6216,73-89,23,15-15,57-75,25-37,47-53,-0.5,1127,4.5,5.1,5.07,706,32,59,36,6,-0.7,24,19-24,19,0.412,77,,-0.2,1258,2.15,7.9,31,66,1184,2303,732,26,1.42,58,0.444,72,,,,15,57,25,47
SDP,SDP,5356,26.2,27.7,53,28-53,28,11,460,554,3.5,6169,0.234,1,2,227,4.67,90,7,4-7,4,4.67,162,160,99,53,1251,1417,8.9,38,43-38,189,226,1.4,43,1430.2,20,8-12,,,,NL,91,,,,27,64,56,35,12,San Diego Padres,32,52,0.299,0.692,83,1061,5954,59-103,24,19-27,52-64,35-56,36-35,-1.3,1037,3.7,5.0,5.04,576,33,52,45,12,-1.3,19,19-19,19,0.393,89,,0.0,1325,2.39,8.3,33,53,1499,2107,604,31,1.378,73,0.438,71,,,,19,52,35,36
NYM,NYM,5510,28.8,27.5,48,33-48,33,5,529,593,3.7,6378,0.25,0,2,286,5.01,83,8,3-8,3,4.59,162,160,118,57,1379,1538,9.6,44,37-44,224,220,1.4,37,1434.2,31,7-13,,,,NL,92,,,,23,69,49,43,1,New York Mets,29,52,0.32,0.755,101,1211,6169,69-93,25,15-23,55-69,17-49,53-43,-0.8,1099,4.5,5.3,5.33,713,37,36,34,5,-0.9,24,21-24,21,0.434,58,,-0.1,1374,2.32,8.6,23,57,1291,2393,735,28,1.485,55,0.432,70,,,,15,55,17,53
CIN,CIN,5484,27.1,27.6,52,29-52,29,7,565,631,4.0,6286,0.253,1,2,249,5.17,87,7,3-7,3,5.08,162,160,116,72,1390,1442,9.1,42,39-42,219,248,1.6,39,1430.0,41,5-15,,,,NL,94,,,,29,65,60,34,-2,Cincinnati Reds,31,47,0.329,0.761,97,1127,6213,70-92,26,9-29,59-65,34-60,34-34,-0.7,1135,4.6,5.4,5.36,715,42,50,33,8,-0.7,22,13-22,13,0.433,120,,0.0,1300,2.06,8.2,39,72,1329,2372,753,38,1.45,62,0.42,68,,,,9,59,34,34
CHW,CHW,5513,26.7,28.7,53,28-53,28,5,401,632,4.0,6200,0.256,0,0,256,4.78,90,5,5-5,5,5.17,162,162,124,76,1412,1384,8.8,42,39-42,186,242,1.5,39,1421.2,17,6-14,,,,AL,95,,,,26,69,49,46,-3,Chicago White Sox,31,51,0.314,0.731,96,1115,6059,70-92,27,20-26,47-69,23-49,44-46,-0.7,1055,4.4,5.1,5.06,670,33,35,25,3,-0.5,23,21-23,21,0.417,71,,0.2,1193,1.89,7.6,31,76,1397,2300,706,37,1.418,67,0.414,67,,,,20,47,23,44
PHI,PHI,5535,26.6,26.8,54,27-54,27,11,494,527,3.3,6235,0.25,0,1,287,4.55,95,10,7-10,7,4.56,162,161,128,47,1382,1471,9.2,42,39-42,174,221,1.4,39,1441.0,25,5-15,,,,NL,96,,,,21,75,43,53,-6,Philadelphia Phillies,31,51,0.315,0.723,89,1130,6133,72-90,28,24-21,42-75,23-43,43-53,-0.6,1079,4.3,4.8,4.83,654,36,21,33,7,-0.7,36,21-36,21,0.409,59,,-0.1,1309,2.48,8.2,25,47,1417,2263,690,36,1.387,50,0.407,66,,,,24,42,23,43
DET,DET,5556,29.6,28.3,51,30-51,30,4,503,538,3.4,6298,0.258,1,2,289,5.36,84,4,1-4,1,4.73,162,160,128,52,1435,1587,10.1,47,34-47,187,218,1.4,34,1420.1,21,8-12,,,,AL,98,,,,22,76,40,58,-3,Detroit Tigers,29,49,0.324,0.748,98,1143,6150,67-95,29,21-22,43-76,28-40,36-58,-1.0,1104,4.5,5.5,5.52,699,27,11,32,4,-0.8,23,17-23,17,0.424,65,,0.2,1202,2.23,7.6,34,52,1313,2355,735,35,1.496,53,0.395,64,,,,21,43,28,36
SFG,SFG,5551,29.5,28.9,55,26-55,26,3,467,496,3.1,6287,0.249,2,3,290,4.5,95,7,12-7,12,4.22,162,159,136,36,1382,1515,9.4,43,38-43,128,182,1.1,38,1452.0,37,8-12,,,,NL,98,,,,30,68,54,44,-3,San Francisco Giants,22,49,0.309,0.689,81,1155,6137,67-95,30,18-30,46-68,36-54,28-44,-0.8,1093,3.9,4.8,4.79,612,52,31,32,5,-0.9,24,23-24,23,0.38,76,,0.0,1234,2.49,7.6,34,36,1204,2112,639,28,1.385,55,0.395,64,,,,18,46,36,28
